"","psw_0198","psw_0202","psw_0239","psw_0325","psw_0329","psw_0378","psw_0379_2","psw_0543","psw_0614","psw_0647","psw_0720_2","psw_0756","psw_0825","psw_0839","psw_0947_4","psw_1017","psw_1045","psw_1066","psw_1079","psw_1104","psw_1145","psw_1154_2","psw_1155","psw_1161","psw_1203","psw_1274","psw_1296","psw_1327","psw_1352","psw_1357","psw_1358","psw_1371_2","psw_1391","psw_1396_2","psw_1404","psw_1412","psw_1425","psw_1456","psw_1490","psw_1507","psw_1508","psw_1510","psw_1528","psw_1554","psw_1589","psw_1619","psw_1637","psw_1638","psw_1695","psw_1708","psw_1714","psw_1717","psw_1722","psw_1751","psw_1776","psw_1809","psw_1817","psw_1821","psw_1873","psw_1883","psw_1904","psw_1960_3","psw_2103","psw_2133","psw_523","psw_981"
"BIOCARTA_CTL_PATHWAY","0.0870797214993607","0.42448385422409","-1.03751178360233","-0.502708316514829","-0.251325952614962","0.592329876474867","0.123989423778185","-1.02002085411547","-1.98915839435489","0.698255542131219","-0.901927493522203","-2.15414537830826","-2.01033505859681","0.307106011292838","1.75161092405784","0.432418022178502","-0.689780038183221","0.209542613025186","-0.195426980029737","-2.26962831898825","1.80031910324522","1.44260499404362","0.271725526428356","0.303246433827441","-1.21011862283563","1.72125592144514","0.0492352166118886","0.983525523343427","-1.31812395268514","1.66774843445871","-0.349151873381207","0.605031226006126","-0.738059305172715","-0.383423743596376","0.261583449424599","-0.186295234714666","-0.270201319235795","0.286636080848357","-1.50484210868576","-0.717818514986928","0.61241542051036","1.07331332882773","1.47315273019803","-0.609719832597234","-0.261393295564837","-0.495303111278403","-0.580161100120757","0.543231568082244","-0.63255157712627","1.44996443282997","0.645598454760887","1.12953305633708","0.82781744476218","0.474566736248286","0.0980882717699832","-0.274656440157967","-0.53925801953221","-1.78223470640007","-0.808064791816911","0.544791771159923","0.0810152711330342","-0.0178900928020461","1.43134773878525","1.20195881598016","-0.748492910953135","0.843206182744964"
"BIOCARTA_D4GDI_PATHWAY","-0.301340450559591","0.622665894398873","0.51091348731894","-1.92875408477199","-0.8946270976053","0.618729608392745","0.0599603140404174","-0.0624732779762271","-1.10979972215001","0.837861124078735","-1.69714100910024","-2.00705924189636","-0.699159429135357","-0.885470665660198","0.945547780847254","-0.144318896040451","-1.08809087747251","0.832549451955504","0.329115036666485","-1.85385778301295","1.4864734984158","1.02289552508245","-0.112746521195736","-0.554466157242711","-0.849912954746613","1.64434871534168","0.546689460859218","0.722028587367604","-1.03927480096716","1.27126259827371","-0.364298347932766","-0.0352089802751918","-1.06895635635285","-0.550706988005869","-1.05737749512069","0.292845454357443","0.736983294131434","0.583404882234341","-1.71561835162972","-0.259573142385582","1.0251974550069","1.58918350284823","1.18978548639716","-0.335338110219161","0.0126501073707854","-0.45531672552103","-1.05188871600709","1.01593392604826","-0.945400791799692","1.54267509365976","0.732356954073574","2.04420319696494","-0.700607069643512","0.84828076702898","0.0205283508700415","-0.45041664180344","0.0638261847213555","-1.73088741828607","-0.454339440344018","0.497186195571449","0.96944706943968","-0.176672786295434","0.532172415044308","0.886137461238762","-0.992236529904165","1.53949798101293"
"BIOCARTA_TCAPOPTOSIS_PATHWAY","0.172863361442386","0.4082199058631","-1.7953825664787","-0.699489473824056","-0.106593795709581","0.731561008285816","-0.261355666927178","-0.662541023027664","-1.723869859092","0.758410895502546","-0.265829510353633","-2.03786053233607","-2.15078277932873","0.257828799973128","1.66346655930754","0.885705225336035","-0.531627645609432","0.18762895950552","-0.254718999085239","-2.01536477225319","1.76588313093443","1.39482147035472","-0.0567286381777788","0.697981174706933","-1.43905714724283","1.83259840271782","0.00978033279995094","0.660020164148454","-1.70624185678963","1.85239209581666","-0.236615407488988","0.413649741540554","-0.721304467687832","-0.234231090025743","0.148814925555359","-0.662767216781218","-0.549105014611552","0.512630242234822","-0.806268591860016","-0.62774264244532","0.371096844916757","1.03490801722877","1.32849524935338","-0.43951544722901","-0.242607541037834","-0.205843885755588","-0.49202315232949","0.406783859348088","-0.696270906532955","1.65897147628874","0.778283738959516","1.14907773371894","-0.0388140047209367","0.464859664700038","0.0417489867102813","-0.204258218710023","-0.42851917006696","-2.04029856096689","-0.712265769346559","0.47085321857488","-0.122904898185978","0.144996695428364","1.57904988756885","1.29501686153318","-0.483133097303711","0.573534718966729"
"BIOCARTA_IL12_PATHWAY","-0.206776051283079","0.822462353135777","-1.34493363628157","-1.13045119609695","-0.387993490670531","0.735999550965841","-0.168969059340081","-0.246245014194178","-1.76305691189168","0.70335625964217","-0.41979489793021","-1.39318878038605","-1.93993027214119","-0.524436695925015","1.66906051230201","0.620604272523464","-0.76569533105537","0.201954158010298","-0.759050605925387","-1.69498730989607","1.85792116112692","1.72874216715854","-0.41830268059809","0.86178186542279","-1.02040336883122","1.81240448646476","-0.0463054369852647","0.791137450323181","-1.45862355902951","2.03971032802371","-0.366690477527362","0.555619966189602","-0.408469184748555","-0.183512592717596","-0.116859514543105","-0.628637174397989","-0.341034142925271","0.192976136538983","-2.0993837982573","-0.596305621985963","0.350797014821473","1.13759587991985","1.28073951255949","-0.258883100630811","-0.716640233909964","-0.331330569999164","-0.720102376109551","0.46801870385635","-0.483698202165409","1.8303859172414","0.572585804615103","1.08599906209764","0.228106026509353","0.265912093542653","-0.181267442680865","-0.267648665774826","-0.594755711841428","-1.10813351597819","-0.761079400198478","0.714759184174055","-0.0191015931038541","0.455632288996612","1.47011736409469","1.65340640715135","-0.902092694660866","0.666984385209947"
"BIOCARTA_TCRA_PATHWAY","0.336528877404769","0.212068163749887","-1.64702023097008","-1.00419254018032","-0.0753766856569991","0.611636495405356","-0.387124482309557","-0.641689724825926","-1.31706950642477","0.761276299976455","-0.594194568054478","-2.08866923140682","-1.829106981496","0.195232173162033","1.62300667381604","1.07977174839529","-0.676839633328986","0.316296609929721","-0.279266323438125","-1.92841257046299","1.91478126841665","1.54682705900848","0.0387154871242459","0.557126346179704","-1.42280967055648","1.53634299126296","-0.146092025486501","0.763737193228225","-1.83345636322608","1.83604123231306","-0.379805922366362","0.349799051372078","-0.690171482945591","-0.198689738054724","0.468730191696421","-0.789833930452638","-0.466765121589622","0.736786424683785","-1.65331533308441","-0.807366516077529","0.513218799100027","0.833291327258901","1.21914343105985","-0.389461702503902","-0.290693528090832","-0.283634488406577","-0.553618116926549","0.542551884151519","-0.818269297525643","1.37381970800995","0.892625475169353","1.09102516794469","0.593108375371725","0.605304180620301","0.279409940021834","-0.391739875402861","-0.228437097648235","-1.79139514584491","-0.662275414507192","0.079418973486175","-0.0870831869443532","0.362369190661714","1.88831791461827","1.06647872348559","-0.344077986178992","0.473167044289984"
"BIOCARTA_NO2IL12_PATHWAY","0.0387348672575173","0.625962482612794","-1.66222495611866","-0.609277239088744","-0.283041331420815","0.485523368240472","-0.345894701882883","-0.716012529374172","-1.41384678698855","0.834883819571033","0.0722583426019161","-1.40313845506312","-1.91350786324364","-0.0792202306941668","1.78735455608157","0.625369638382371","-0.790362347517251","0.116483726724614","-0.405319288049858","-2.08996724397061","2.15470703776984","1.79541298565427","0.0579893009226783","0.74629651539953","-1.17993057531791","1.78881393707185","-0.0596921402689062","0.666431997371827","-1.5618256569628","1.90599523318095","-0.145973749270633","0.525999205644965","-0.424542694410367","-0.343226075824552","0.236159181437011","-0.657286997820513","-0.19401097337575","0.336700951467102","-1.99073541908159","-0.734760185805816","0.399487223294562","0.853234590817084","0.918622220620122","-0.59681755153347","-0.536900910484814","-0.3523302018211","-0.882407772710777","0.421863544556327","-0.764671527216663","1.6997079504121","0.729996909926725","1.09213836580074","0.377143636679529","0.358453761596797","-0.27107890481236","-0.244263486950844","-0.39745358736723","-1.5596455307636","-0.747158001965663","0.62127184821965","0.00436072887431365","0.207836877984231","1.51832716241281","1.51744032838352","-0.751083940197541","0.586646560404555"
"BIOCARTA_NKCELLS_PATHWAY","-0.317344770871978","1.10078807625248","-1.0744160453185","-0.983626999709665","-0.31513361445697","0.443276315546313","-0.727061874817252","-0.850237905597849","-2.08569159712903","0.708378573799375","-0.85096478826764","-1.19391245014178","-1.56384414138987","0.384185850814267","1.35028209130352","0.410760881203293","-0.660299347366173","0.43359552583727","-0.350107700685648","-0.799444365717195","1.66432119844714","0.776613529155626","-0.528633530584839","-2.60078740981603","-0.912739763120364","2.6652328331852","0.277322947900219","0.538546010339633","-0.796066104413457","2.37253574981303","-0.343851889232924","0.1852697044427","-0.750778921831239","-0.667988454736905","-0.724741351410172","0.370015274925607","0.484216788280177","0.321677725265816","-1.27811639515315","-0.383738237825586","0.415081690620674","1.60416179521236","1.53554126977342","-0.57123453015698","0.249631505346053","0.395278947437644","-0.0952419552004872","0.305727689732769","-0.188908614652763","1.39197486106488","0.351161517680792","0.823604107112265","-0.443408773939256","0.360166247563414","-0.369808369436501","-0.199847793993878","-1.32129941222901","-0.643130160556651","-0.920932677207671","0.141008058998759","-0.059081338538239","0.56203755453458","1.01929990111008","0.768904579306656","-0.730388654031808","1.89221113753145"
"BIOCARTA_TOB1_PATHWAY","0.64837604155197","1.14829170583918","-1.24422848571139","-0.651351101794796","-0.360906929908369","0.263155701647841","-0.555375495111168","-0.346902560419672","-1.87561544131034","0.993387550794377","-0.721242764446086","-2.18338931991461","-1.94866390672657","0.362413491143394","1.82390074951769","1.12027472470663","-0.596973166288397","0.802740112389703","-0.361803161883236","-1.04456654974528","1.30414818627529","1.80263545879709","-0.11579974663191","-1.30142979204128","-2.18855583660328","1.2034898819903","-0.0785472535261568","0.282839306418709","-0.11562319564637","2.18081829846451","-0.919121384647523","0.903780833714982","-0.0616602368317408","-0.314010833035823","0.198360696707128","-0.0648507190223158","-0.257678764819066","0.460169251371212","-1.97539233114452","-1.20620362259677","0.628181675863071","0.32349116195119","0.477833574028737","0.566966508552271","-1.23226412713347","-0.38350232280705","-0.749948508766662","0.298957059629188","-0.193901250946001","1.23274972822568","0.856952754536649","0.977320001266601","-0.497531021497729","0.590741150224827","0.639113540241141","-0.631303471010712","-0.216751309304655","-1.42506652511656","-0.185660026319511","0.61257293724489","0.442027991151085","-0.520977653880897","1.48509706752429","1.24472391358878","0.366465787705702","0.284821973525815"
"BIOCARTA_STATHMIN_PATHWAY","0.431272445807852","0.612990347353029","-1.61494592493488","-1.37109750169878","-0.372984670561183","1.10548028289935","0.203581171736939","-0.273619799406324","0.239510745155574","1.51474259726352","0.105480209484461","-1.55440198940711","-1.46885326308273","-0.343645159085786","0.742290247762182","0.439837487517943","-0.462377241735575","-0.323806060155918","-0.911760997706533","-1.8217603913331","1.90589578752993","1.01128337876812","-0.00155701587348962","-0.591769430152965","-1.84941242080118","1.71626078110691","0.246262899188513","0.0866491899796859","-1.2802541483358","1.41919575638986","-0.162096012695725","0.0537877343621435","-0.482949237527837","-0.547346196948173","-0.800785375057358","0.487829231151019","-0.0257629618730526","1.53001368671568","-1.77337246636956","-0.587698465450602","-0.0540497183437019","1.2640041354458","2.01735828724648","-0.312705777575684","-0.627850865732641","-0.963402998577879","-0.770567299672935","0.306995851857896","-0.462794759999344","1.46961404284491","-0.144302809719204","1.66797001925468","0.168157482047651","0.843477861130579","-0.643590593295164","0.091325669551789","-0.521932805165739","-1.29818317842555","-0.871101578252918","0.454112784282897","-0.287729341305346","0.30565141827115","1.25476814286626","1.79064589740341","-0.911459641345389","1.00548252522893"
"BIOCARTA_TCR_PATHWAY","0.347436257742086","0.615711031110264","-1.2618127431502","-0.978530424712111","-0.120338666818324","0.315336552769435","-0.231304517275734","-0.471605643532569","-0.742027850881561","0.585284441174637","-1.1116955133149","-0.737804477840997","-0.883493550729961","0.218937387672239","1.05226266644757","1.36680471956352","-0.56335993244769","0.364935304789663","-0.11850287916647","-1.33148203307827","1.80338335577397","1.2219101426077","-0.553682660037688","-1.57568116629308","-1.55867815874806","1.53319368416807","0.493897413059848","0.283350495365729","-0.994922970284535","2.44918039170499","-0.782149546360103","0.157969299265805","-0.884335549642618","-0.331531226441446","-0.605758969396729","-0.50219909555288","-0.146502671264914","0.56857787097268","-3.87991439627266","-0.876089678887082","0.308388488479447","1.14838295311944","0.445414313212744","0.121647651762824","-0.520632471260688","0.651902484902071","-0.559097931952198","0.219490289377576","-0.508384663945287","1.07420255755384","0.533957645220175","1.02814844820379","0.440921662999518","0.641838067130662","0.789441161045603","-0.44961903085416","-0.10891111524095","-1.12163921458121","-0.810498213705791","0.0454812356208836","0.267084632133622","0.970755677485392","2.09147965780456","0.796630536442483","0.097730395168027","0.271118091819985"
