"","psw_0198","psw_0202","psw_0239","psw_0325","psw_0329","psw_0378","psw_0379_2","psw_0543","psw_0647","psw_0825","psw_0839","psw_0947_4","psw_1017","psw_1045","psw_1066","psw_1145","psw_1154_2","psw_1161","psw_1203","psw_1296","psw_1327","psw_1352","psw_1357","psw_1358","psw_1396_2","psw_1404","psw_1412","psw_1456","psw_1490","psw_1507","psw_1510","psw_1528","psw_1554","psw_1589","psw_1619","psw_1637","psw_1638","psw_1714","psw_1717","psw_1722","psw_1776","psw_1809","psw_1817","psw_1873","psw_1883","psw_1960_3","psw_2133","psw_523","psw_981"
"GSE23114_WT_VS_SLE2C1_MOUSE_PERITONEAL_CAVITY_B1A_BCELL_DN","0.73988276814708","-0.763031732638243","-0.514788957009657","1.8766259247683","0.635941775841444","0.288407682997562","0.653197670360607","-0.665064519115337","-2.37561228590932","-0.64132818736836","1.69883865013605","-0.717436834404949","0.599660177760682","0.670426090668649","0.350860598511644","-0.993299714312179","-0.505267713731982","1.34906045591797","2.1301727358194","1.3491315796148","0.102647530213859","-0.878719942977302","-0.663053413606406","-0.833821589308141","-0.23100760641636","2.14756994611505","-0.19840399734719","-0.385224990860515","1.28795687121482","-0.91052257130075","-0.951916184650081","-1.25503313660431","-0.259220579014486","-0.770447871128675","-0.0141182822626466","2.06842403006568","-1.17592233224937","0.816652784478724","-0.274249232591093","-1.20975338308176","0.152424623252946","0.515351874463678","-0.366006248369854","-0.832574456876644","-0.59110827701719","0.045188333757531","-0.19793565379321","0.0709540451601692","-0.374506455320633"
"KORKOLA_YOLK_SAC_TUMOR","0.166422007402374","0.687731688049354","-0.843303085836513","0.00782484557172685","0.213937889355939","-0.0911719552704561","1.26786032939973","0.575495001387021","-1.02944849568852","-0.87236920104915","-0.982116417260935","0.157781591481892","0.108472528076375","0.728532932468262","0.886615542263469","-0.776965423591455","0.727646260713055","1.00174852519605","1.37980084282847","-0.385297516597332","-1.24639654567947","0.477311390352447","-0.37471264640171","-1.07347124037094","1.47629424658574","2.88845151677104","1.06546639461723","-0.920151512630268","-1.12425295894832","0.610679375520298","-1.01135791099557","-1.29361602504452","0.948376269241846","-0.839856748159641","-0.182994915768092","2.40976722235896","-0.346826015240348","0.527771197531657","-1.27658960899384","-0.88751649562404","0.183209216936034","0.253845916618264","-1.04655584127692","1.07890842926963","-0.432545591160352","-1.08494841438205","0.457506969105985","-0.982653106261852","-1.18234045687056"
"NABA_ECM_AFFILIATED","1.59739352258379","-0.753338006839268","-0.912847235307307","0.489203269212576","0.042123665206942","0.217750132859297","0.275472110420894","-0.667019531437228","-1.53388902582554","-0.733989998273785","0.597526209244338","-0.00157449042592419","0.855652453333717","0.0966725775061072","0.0484508284456411","-0.300140118311771","1.02118905647546","2.84754400282158","0.178516086306388","0.73992359688393","-0.111571508191184","-1.96600479643758","0.458123870627984","-1.78677727922412","0.0674041722512331","2.02475470028229","-1.06174226601082","0.269748330486145","1.25560170976015","-0.318919537151694","-1.15223864701957","-0.847338006358912","-0.428274679996613","0.137999570165126","1.04684728201573","1.07311337112923","-1.5680288923187","0.861667282004689","-0.506181765039202","0.0320370438030597","1.72741193119548","0.3456269793967","-0.904998194643883","-0.0162507912488654","-1.24462294791406","-1.0856258342007","-0.605205594534267","0.392722187515488","-0.193896795222981"
"HNF1_C","0.37365840973284","0.370353456307176","0.811496378939709","-0.613262614425834","0.149013351439134","0.212498643580814","-0.216908225725694","0.651692749261364","-1.26184907856691","0.331442936982551","-0.545443983066598","-0.599016715043857","0.115297805381532","-0.0473983194174779","-0.376886156364459","1.05857252879946","-0.991342684598045","2.06075199479985","1.62115936557997","0.760129135134893","-0.987399477190821","-0.692578611262632","0.529815473998543","-1.02187800545207","0.209665079399702","3.04602967749715","-0.13547306209633","-0.106459874204514","-0.299890578274163","-0.0402993542926945","-0.945897931043513","-1.40624811124977","-0.307348783284242","-0.825893808853753","-0.103321110108589","2.73934448956506","-1.67444626178456","0.213621900301296","-0.3379384570324","-1.1302012517979","0.560634032763661","-0.279107507363368","0.233114073127542","1.8088772494811","-1.30689036379685","-0.355961943660032","-0.667768847059436","0.085821840062162","-0.665879455119005"
"CTGYNNCTYTAA_UNKNOWN","0.379746912909731","-0.669812442283341","-0.088412332664614","-0.204970002740953","1.25781978588951","-1.13272974449528","-0.67471320507091","1.43760662585759","-0.548337372351824","0.040294444959176","1.23240107773347","-0.188287568048551","1.81518172711462","0.033417570875886","0.450760679567127","-0.983422279694048","0.60503348660743","1.35697766518115","-0.935149121938702","0.427713846516373","-0.8196332837233","-0.391850973129999","0.852091749560289","-0.489474103363514","1.15160454516897","0.543162189175394","-0.135829780285652","0.102685784528352","1.52311210448472","-0.10735952753901","-1.28801599704904","-1.75230623102407","1.0367500606413","-0.586443052959428","1.19585912496431","-0.20459867282401","-2.00595328506876","0.0841852715230764","-0.323512953715849","-2.50554319484901","1.52185813721613","-0.580710277460453","0.324318403436232","1.42736178227243","-0.211643593186609","-0.370286550997639","0.250374429487544","0.028825931765711","-1.88014779097193"
"HNF1_Q6","-0.0442076765119039","0.792937569134269","0.366863053521429","-0.337370669083936","0.429192472504861","-0.0687485983696365","-0.184404724204527","0.723363538340297","-1.17687870081622","0.207931471174092","-0.676392069016511","-0.597817611823875","0.216314640694994","0.237294271357911","-0.43749497377493","0.86596754253061","-0.829088223126925","0.753721442362493","2.3098670751917","0.0816631205316743","-0.796662020550116","-0.941014491129826","0.0288034623048944","-0.962874034190267","-0.521999839596651","3.75825755693614","-0.394819954693477","-0.24907657748024","0.0179693274379438","0.156476218841526","-0.659551676084221","-1.45182188544949","-0.439662027304913","-0.955102100749003","0.244775641184565","3.0692140341671","-1.18391361461027","0.421375763879269","-0.4086298296277","-0.781194574120561","0.424732997913147","-0.269912853462232","-0.0557031882569261","1.53287309772959","-0.859718210420975","-0.197546931480188","-0.173160339569242","-0.398191171922682","-0.586635730311058"
"GATAAGR_GATA_C","-0.0786656483740872","-0.634147045115245","-0.1749961779203","-0.398466429012246","-0.0592251518101629","-0.328654282617519","-0.229076707037201","-0.0449502115254358","-1.26936681846218","-0.561317159654508","1.35874563116144","-0.302292372528473","0.925897482784404","-0.354998776701198","0.628317270482193","0.316399418502445","-0.332199012920802","2.16078575977755","-0.0390557931516258","0.82625154903766","-0.979351847685056","-1.02225413552379","0.871407163817428","-0.595844384821188","0.397488594846283","2.05434608770846","0.0684117938835245","0.79859311401434","1.79335886036946","-0.611345330817546","-0.919664449095873","-2.06236934193446","0.670105833065658","-1.70368438737601","0.632337528883198","1.48376087770822","-2.18544342558616","0.819834307540966","-1.10126287567308","-0.3826407544718","2.03629408931229","-0.456892197747837","0.0792333907515668","0.165143319200503","-0.996988038453265","0.0764956434651375","-0.74328695254587","0.842364223446211","-0.437132231196016"
"GO_RESPONSE_TO_MAGNESIUM_ION","0.276398711164529","-0.0658432237825242","0.282372276552883","-0.632650053511389","1.30538459695059","-0.0729990518236846","0.606185284486894","-0.660066798013098","-1.38152113527265","-0.958407280080504","0.608749151979621","0.634695609678576","0.0248059596231633","0.510430266894955","0.567913100697428","-1.31749526410871","-0.58945079505103","3.19671889208316","0.275224773187549","-0.20496138693653","-0.968921993348405","-0.950866900408396","0.119739320473346","-0.846308754593027","0.729851348309006","1.07540985566737","-0.0602209212169296","0.323436064311142","3.17333960991456","0.30167211725304","-0.917658133391422","-1.71023178234408","0.907601517411418","-0.241024880010875","1.09936711631069","0.702341368069617","-1.53296589999127","-0.400321666170368","-0.257107494788085","-1.26761893824348","0.169285060026212","0.071514019457959","-1.44352664416517","-0.0574106664442428","-0.147817065915053","0.0532910991921462","0.491015349903757","0.10538484792045","-0.926730587909125"
"GSE15750_WT_VS_TRAF6KO_DAY10_EFF_CD8_TCELL_DN","1.76494064193275","-1.50254946093044","-0.487543561440617","0.0204367734996592","0.442248443040694","-0.720336198360126","0.244796935923086","-0.551971385559104","-1.70222123808091","0.437527050568566","0.609159818072497","0.334609647877089","1.04561558234425","0.619307324050257","0.947344938260071","-0.254769775077015","-1.24578920217827","2.48896750572595","1.06054110163768","0.762554563512155","0.777737124638376","0.308916516548764","-0.951286897468134","-0.792247000217495","-0.123893351649671","0.454266767567714","0.322365562071913","-0.0751163364837264","0.968252429892501","-0.57845982710825","-1.15697378885865","-2.31030652669305","0.896883826471034","0.200267070016997","0.428612562377759","1.27825214834732","-0.825329542782052","-0.878110004276613","0.133549463035725","-2.2932657213264","1.05398951438533","0.146315574783184","-0.741962364502423","1.42211358891158","0.0918758499188863","-1.18194666345327","0.319575106208753","-0.582678141289897","-0.624266443884431"
"HUANG_FOXA2_TARGETS_UP","0.658696289423166","-0.544341612198209","0.582824153392777","-1.30029592457545","1.44801974369231","0.795256658424148","0.943807419072631","0.073391421237965","-0.0636066308193097","1.27232862483546","-0.823505356942494","0.451048486424331","-0.0293325490041205","0.344080067460086","0.783236779879907","-1.11144406038139","0.75286287311445","-0.216569619664831","0.216173605762609","0.101360692278703","-2.1233368815804","-1.39213126018118","-0.062968718541129","0.172504791775859","0.525538985686566","0.778434529747582","0.145395078403732","-0.256704551232518","-1.7696851289589","2.25984219816333","-0.897500506660941","-0.798829432495037","1.16537247169625","-0.528152984730323","0.654429848471749","-0.0315372853658367","-1.73634677422285","1.29347301754767","-0.892217322652226","-1.46229068943056","0.261347586066779","0.733359891314246","-0.432252816428837","1.14007892321895","-1.99151031740343","-0.692119180902783","1.71813693521945","0.220285142347912","-0.334606610285852"
